# https://blockchair.com/ and whois results
# Bitcoin
IP Address|Port|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.157.168.58|8333|/Satoshi:0.20.0/|1221|1.128.0.0/11|AU|apnic|2010-05-18|ASN-TELSTRA Telstra Corporation Ltd, AU
1.172.88.79|8333|/Satoshi:0.18.1/|3462|1.172.0.0/16|TW|apnic|2010-05-05|HINET Data Communication Business Group, TW
1.20.201.215|8333|/Satoshi:0.21.0/|23969|1.20.201.0/24|TH|apnic|2011-04-04|TOT-NET TOT Public Company Limited, TH
1.214.190.18|8333|/Satoshi:0.21.1/|3786|1.208.0.0/12|KR|apnic|2010-06-11|LGDACOM LG DACOM Corporation, KR
1.65.207.168|8333|/Satoshi:0.21.0/|4760|1.65.192.0/19|HK|apnic|2010-06-29|HKTIMS-AP HKT Limited, HK
100.0.15.8|8333|/Satoshi:0.21.0/|701|100.0.0.0/16|US|arin|2010-12-28|UUNET, US
100.11.101.157|8333|/Satoshi:0.20.1/|701|100.11.0.0/16|US|arin|2010-12-28|UUNET, US
100.14.59.165|8333|/Satoshi:0.21.0/|701|100.14.0.0/16|US|arin|2010-12-28|UUNET, US
100.14.9.2|8333|/Satoshi:0.20.1/|701|100.14.0.0/16|US|arin|2010-12-28|UUNET, US
100.15.81.199|8333|/Satoshi:0.18.1/|701|100.15.0.0/16|US|arin|2010-12-28|UUNET, US
100.16.171.7|8333|/Satoshi:0.20.0/|701|100.16.0.0/16|US|arin|2010-12-28|UUNET, US
100.16.199.139|8333|/Satoshi:0.21.1/|701|100.16.0.0/16|US|arin|2010-12-28|UUNET, US
100.2.172.211|8333|/Satoshi:0.21.1/|701|100.2.0.0/16|US|arin|2010-12-28|UUNET, US
100.25.223.183|8333|/Satoshi:0.21.1/|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US
100.25.60.57|8333|/Satoshi:0.14.99/|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US
100.34.17.227|8333|/Satoshi:0.21.1/|701|100.34.0.0/16|US|arin|2010-12-28|UUNET, US
100.35.103.31|8333|/Satoshi:0.21.1/|701|100.35.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.139.139|64668|/Satoshi:0.21.0/|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.146.102|8333|/Satoshi:0.21.0/|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.184.223|8333|/Satoshi:0.21.0/|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.36.19.244|8333|/Satoshi:0.21.0/|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
100.38.251.62|8333|/Satoshi:0.21.1/|701|100.38.0.0/16|US|arin|2010-12-28|UUNET, US
101.100.139.113|8333|/Satoshi:0.20.1/|133579|101.100.139.0/24|NZ|apnic|2010-12-22|MYREPNZ-AS-AP MYREPUBLIC LIMITED, NZ
101.101.209.80|8333|/Satoshi:0.20.99/|135354|101.101.208.0/20|KR|apnic|2011-02-28|NBPAP-AS-AP NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD., SG
101.132.39.85|8333|/Satoshi:0.19.1/|37963|101.132.0.0/16|CN|apnic|2010-12-16|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
101.165.169.151|8333|/Satoshi:0.20.1/|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.179.104.200|8333|/Satoshi:0.21.0/|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.190.156.74|8333|/Satoshi:0.21.1/|1221|101.160.0.0/11|AU|apnic|2010-12-23|ASN-TELSTRA Telstra Corporation Ltd, AU
101.200.40.4|8333|/Satoshi:0.20.1/|37963|101.200.0.0/16|CN|apnic|2011-01-24|CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN
101.83.117.84|8333|/Satoshi:0.19.1/|4812|101.82.0.0/15|CN|apnic|2011-01-03|CHINANET-SH-AP China Telecom (Group), CN
101.98.167.205|8333|/Satoshi:0.21.0/|9790|101.98.0.0/16|NZ|apnic|2010-12-22|VOCUSGROUPNZ VocusGroup, NZ
102.132.227.107|8333|/Satoshi:0.21.0/|37680|102.132.224.0/20|ZA|afrinic|2018-07-04|COOL-IDEAS, ZA
102.132.245.16|8333|/Satoshi:0.21.1/|37680|102.132.240.0/20|ZA|afrinic|2018-07-04|COOL-IDEAS, ZA
102.182.204.96|8333|/Satoshi:0.21.0/|37611|102.182.0.0/16|ZA|afrinic|2017-06-02|Afrihost, ZA
102.65.223.241|8333|/Satoshi:0.21.1/|328453|102.65.0.0/16||||Web-Africa-Networks-AS, ZA
103.109.101.216|8333|/Satoshi:0.20.0/|206264|103.109.100.0/22|HK|apnic|2018-02-12|AMARUTU-TECHNOLOGY, SC
103.112.29.124|8335|/Satoshi:0.18.1(Omni:0.8.2)/|135026|103.112.29.0/24|CN|apnic|2018-03-22|THINKDREAM-AS-AP ThinkDream Technology Limited, HK
103.117.146.210|8333|/Satoshi:0.17.1/|45753|103.117.146.0/24|HK|apnic|2018-06-27|NETSEC-HK NETSEC, HK
103.117.146.98|8333|/Satoshi:0.20.0/|45753|103.117.146.0/24|HK|apnic|2018-06-27|NETSEC-HK NETSEC, HK
103.129.13.34|8333|/Satoshi:0.21.1/|135556|103.129.13.0/24|TH|apnic|2018-09-04|METRABYTEONE-AS-AP Metrabyte One Company Limited, TH
103.137.94.237|8333|/Satoshi:0.21.1/|136334|103.137.94.0/24|IN|apnic|2019-03-25|VNPL-AS Vortex Netsol Private Limited, IN
103.14.244.190|8333|/Satoshi:0.18.0/|24482|103.14.244.0/23|SG|apnic|2012-08-13|SGGS-AS-AP SG.GS, SG
103.147.122.113|8333|/Satoshi:0.17.1/|135932|103.147.122.0/24|VN|apnic|2020-01-10|VNDATA-AS-VN Viet Storage Technology Joint Stock Company, VN
103.150.0.243|8333|/Satoshi:0.21.0/|135902|103.150.0.0/23|VN|apnic|2020-03-30|HAHALOLO-AS-VN Hahalolo Travel Social Network Joint Stock Company, VN
103.16.128.63|8333|/Satoshi:21.99.0/|133159|103.16.128.0/22|AU|apnic|2013-02-06|MAMMOTHMEDIA-AS-AP Mammoth Media Pty Ltd, AU
103.163.225.51|8333|/Satoshi:0.17.0/|141780|103.163.225.0/24|TH|apnic|2021-03-05|CGCL-AS-AP CHANNEL G COMPANY LIMITED, TH
103.18.124.164|8333|/Satoshi:0.17.1/|9336|103.18.124.0/22|AU|apnic|2013-03-15|WWWIRES-AU World Without Wires Pty Ltd, AU
103.214.68.72|8333|/Satoshi:0.18.1(Omni:0.9.0)/|138195|103.214.68.0/24|NZ|apnic|2016-04-08|MOACKCOLTD-AS-AP MOACK.Co.LTD, KR
103.224.118.79|8333|/Satoshi:0.18.0/|56300|103.224.118.0/24|SG|apnic|2014-01-17|MYREPUBLIC-SG MyRepublic Ltd., SG
103.231.191.7|8333|/Satoshi:0.20.0/|17831|103.231.191.0/24|SG|apnic|2014-05-16|CENTERHOP-SG 8 Burn Road# 15-13, Trivex, SG
103.231.88.10|9696|/Satoshi:0.18.0/|133480|103.231.88.0/24|AU|apnic|2014-05-12|INTERGRID-AS-AP Intergrid Group Pty Ltd, AU
103.232.104.227|8333|/Satoshi:0.21.0/|23655|103.232.104.0/22|NZ|apnic|2016-06-29|SNAP-NZ-AS Snap Internet Limited, NZ
103.235.230.196|8333|/Satoshi:0.17.1/|4808|103.235.228.0/22|CN|apnic|2014-07-09|CHINA169-BJ China Unicom Beijing Province Network, CN
103.239.19.142|8333|/Satoshi:0.18.0/|131896|103.239.19.0/24|JP|apnic|2014-07-30|SSI-LAB SSI Lab Inc., JP
103.243.173.210|8333|/Satoshi:0.21.1/|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
103.243.173.214|8333|/Satoshi:0.21.1/|59210|103.243.173.0/24|SG|apnic|2013-10-15|PHOENIXNAP-AS-SG1 PhoenixNAP, SG
103.29.69.57|8333|/Satoshi:0.18.0(bitcore)/|63949|103.29.68.0/22|SG|apnic|2011-06-22|LINODE-AP Linode, LLC, US
103.36.92.112|8333|/therealbitcoin.org:0.9.99.99/|38532|103.36.92.0/22|SG|apnic|2014-08-14|USONYX-AS-AP USONYX PTE LTD, SG
103.37.205.47|8333|/Satoshi:0.21.0(onesandzeros.nz)/|56068|103.37.204.0/22|NZ|apnic|2014-08-27|LIGHTSPEED-TECHNOLOGY-AS-AP Lightspeed Technology Group Limited, NZ
103.57.202.84|8333|/Satoshi:0.18.1(Omni:0.9.0)/|136209|103.57.202.0/24|HK|apnic|2015-05-20|BN-AS-KR Korea Fast Networks, KR
103.6.219.60|51210|/Satoshi:0.19.0.1/|6939|103.6.216.0/22|AU|apnic|2012-03-07|HURRICANE, US
103.71.252.18|8333|/Satoshi:0.20.1/|45753|103.71.252.0/24|HK|apnic|2016-08-16|NETSEC-HK NETSEC, HK
103.97.3.164|8333|/Satoshi:0.19.1/|133115|103.97.3.0/24|HK|apnic|2017-07-12|HKKFGL-AS-AP HK Kwaifong Group Limited, HK
103.99.168.100|8333|/Satoshi:0.20.0(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.130|8333|/Satoshi:0.20.99(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.140|8333|/Satoshi:0.20.0(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
103.99.168.150|8333|/Satoshi:0.19.0.1(@wiz)/|54415|103.99.168.0/24|JP|apnic|2017-08-28|WIZ-JP-AS-AP WIZ K.K., JP
